[      50ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
[      96ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
[   11086ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
[   11107ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
[   38819ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
[   38840ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
[   77298ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
[   77323ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
[   95761ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5174/manifest.webmanifest:0
